participant_id,Group,Questions,Response,DISPLAY,PROMPT,QUESTION,Picture
group_1_1,1,Q1,Completely false,0,AND,Q68,LalaLokiMaxLuna
group_1_1,1,Q3,Completely true,4,ALL,Q72,LokiLeoCocoMilo
group_1_1,1,Q5,Completely false,2,ALL,Q73,LeoMaxNalaMia
group_1_1,1,Q7,Completely false,0,ALL,T1,MaxCocoLunaTom
group_1_1,1,Q9,Completely true,4,AND,Q76,CocoNalaMiloLala
group_1_1,1,Q11,Neither completely true nor completely false,2,AND,T2,NalaLunaMiaLoki
group_1_1,1,Q13,Completely false,0,AND,Q71,LunaMiloTomLeo
group_1_1,1,Q15,Completely true,4,ALL,Q65,MiloMiaLalaMax
group_1_1,1,Q17,Completely false,2,ALL,Q67,MiaTomLokiCoco
group_1_1,1,Q19,Completely false,0,ALL,Q75,TomLalaLeoNala
group_1_1,1,Q21,Completely true,4,AND,Q81,LalaLokiLeoMax
group_1_1,1,Q23,Neither completely true nor completely false,2,AND,Q59,LokiLeoMaxCoco
group_1_1,1,Q25,Completely false,0,AND,Q74,LeoMaxCocoNala
group_1_1,1,Q27,Completely true,4,ALL,Q83,MaxCocoNalaLuna
group_1_1,1,Q29,Completely false,2,ALL,Q78,CocoNalaLunaMilo
group_1_1,1,Q31,Completely false,0,ALL,Q87,NalaLunaMiloMia
group_1_1,1,Q33,Completely true,4,AND,Q61,LunaMiloMiaTom
group_1_1,1,Q35,Neither completely true nor completely false,2,AND,Q82,MiloMiaTomLala
group_1_1,1,Q37,Completely false,0,AND,Q79,MiaTomLalaLoki
group_1_1,1,Q39,Completely true,4,ALL,Q70,TomLalaLokiLeo
group_1_1,1,Q41,Completely false,2,ALL,Q69,LalaMaxLunaTom
group_1_1,1,Q43,Completely false,0,ALL,Q84,LokiCocoMiloLala
group_1_1,1,Q45,Completely true,4,AND,Q85,LeoNalaMiaLoki
group_1_1,1,Q47,Neither completely true nor completely false,2,AND,Q60,MaxLunaTomLeo
group_1_1,1,Q49,Completely false,0,AND,Q62,CocoMiloLalaMax
group_1_1,1,Q51,Completely true,4,ALL,Q80,NalaMiaLokiCoco
group_1_1,1,Q53,Completely false,2,ALL,Q63,LunaTomLeoNala
group_1_1,1,Q55,Completely false,0,ALL,Q77,MiloLalaMaxLuna
group_1_1,1,Q57,Completely true,4,AND,U1,MiaLokiCocoMilo
group_1_1,1,Q59,Neither completely true nor completely false,2,AND,Q66,TomLeoNalaMia
