participant_id,Group,Questions,Response,DISPLAY,PROMPT,MONOTONICITY
group_1_1,1,Q1,Completely true,4,MORE,POS
group_1_1,1,Q2,Completely false,0,CONJ,POS
group_1_1,1,Q3,Neither completely true nor completely false,1,FEW,POS
group_1_1,1,Q4,Completely false,4,CONJ,NEG
group_1_1,1,Q5,Completely true,3,NAME,NEG
group_1_1,1,Q6,Neither completely true nor completely false,2,CONJ,NEG
group_1_1,1,Q7,Completely false,1,MORE,POS
group_1_1,1,Q8,Completely true,0,CONJ,NEG
group_1_1,1,Q9,Completely true,4,LESS,NEG
group_1_1,1,Q10,Completely true,4,CONJ,POS
group_1_1,1,Q11,Completely true,1,NAME,NEG
group_1_1,1,Q12,Neither completely true nor completely false,2,CONJ,POS
group_1_1,1,Q13,Neither completely true nor completely false,2,MANY,POS
group_1_1,1,Q14,Completely false,0,CONJ,POS
group_1_1,1,Q15,Neither completely true nor completely false,0,MORE,NEG
group_1_1,1,Q16,Completely false,4,CONJ,NEG
group_1_1,1,Q17,Completely false,2,NAME,NEG
group_1_1,1,Q18,Neither completely true nor completely false,2,CONJ,NEG
group_1_1,1,Q19,Completely true,0,NAME,NEG
group_1_1,1,Q20,Completely true,0,CONJ,NEG
group_1_1,1,Q21,Completely true,1,LESS,POS
group_1_1,1,Q22,Completely true,4,CONJ,POS
group_1_1,1,Q23,Completely false,3,NAME,NEG
group_1_1,1,Q24,Neither completely true nor completely false,2,CONJ,POS
group_1_1,1,Q25,Completely false,3,LESS,POS
group_1_1,1,Q26,Completely false,0,CONJ,POS
group_1_1,1,Q27,Completely false,4,NAME,NEG
group_1_1,1,Q28,Completely false,4,CONJ,NEG
group_1_1,1,Q29,Completely true,4,FEW,POS
group_1_1,1,Q30,Neither completely true nor completely false,2,CONJ,NEG
group_1_1,1,Q31,Completely true,0,NAME,NEG
group_1_1,1,Q32,Completely true,0,CONJ,NEG
group_1_1,1,Q33,Completely false,1,FEW,POS
group_1_1,1,Q34,Completely true,4,CONJ,POS
group_1_1,1,Q35,Completely false,0,MORE,POS
group_1_1,1,Q36,Neither completely true nor completely false,2,CONJ,POS
group_1_1,1,Q37,Completely false,3,MORE,NEG
group_1_1,1,Q38,Completely false,0,CONJ,POS
group_1_1,1,Q39,Completely false,2,MORE,POS
group_1_1,1,Q40,Completely false,4,CONJ,NEG
group_1_1,1,Q41,Completely true,3,MORE,POS
group_1_1,1,Q42,Neither completely true nor completely false,2,CONJ,NEG
group_1_1,1,Q43,Completely true,2,LESS,NEG
group_1_1,1,Q44,Completely true,0,CONJ,NEG
group_1_1,1,Q45,Completely false,2,LESS,POS
group_1_1,1,Q46,Completely true,4,CONJ,POS
group_1_1,1,Q47,Completely false,1,NAME,NEG
group_1_1,1,Q48,Neither completely true nor completely false,2,CONJ,POS
group_1_1,1,Q49,Completely true,3,FEW,POS
group_1_1,1,Q50,Completely false,0,CONJ,POS
group_1_1,1,Q51,Completely true,0,LESS,POS
group_1_1,1,Q52,Completely false,4,CONJ,NEG
group_1_1,1,Q53,Completely false,4,NAME,NEG
group_1_1,1,Q54,Neither completely true nor completely false,2,CONJ,NEG
group_1_1,1,Q55,Completely true,0,MANY,NEG
group_1_1,1,Q56,Completely true,0,CONJ,NEG
group_1_1,1,Q57,Completely true,2,NAME,NEG
group_1_1,1,Q58,Completely true,4,CONJ,POS
group_1_1,1,Q59,Completely false,4,LESS,POS
group_1_1,1,Q60,Neither completely true nor completely false,2,CONJ,POS
group_1_2,1,Q1,Completely true,4,MORE,POS
group_1_2,1,Q2,Completely false,0,CONJ,POS
group_1_2,1,Q3,Neither completely true nor completely false,1,FEW,POS
group_1_2,1,Q4,Completely false,4,CONJ,NEG
group_1_2,1,Q5,Completely true,3,NAME,NEG
group_1_2,1,Q6,Neither completely true nor completely false,2,CONJ,NEG
group_1_2,1,Q7,Completely false,1,MORE,POS
group_1_2,1,Q8,Completely true,0,CONJ,NEG
group_1_2,1,Q9,Neither completely true nor completely false,4,LESS,NEG
group_1_2,1,Q10,Completely true,4,CONJ,POS
group_1_2,1,Q11,Completely true,1,NAME,NEG
group_1_2,1,Q12,Neither completely true nor completely false,2,CONJ,POS
group_1_2,1,Q13,Neither completely true nor completely false,2,MANY,POS
group_1_2,1,Q14,Completely false,0,CONJ,POS
group_1_2,1,Q15,Neither completely true nor completely false,0,MORE,NEG
group_1_2,1,Q16,Completely false,4,CONJ,NEG
group_1_2,1,Q17,Completely false,2,NAME,NEG
group_1_2,1,Q18,Neither completely true nor completely false,2,CONJ,NEG
group_1_2,1,Q19,Completely true,0,NAME,NEG
group_1_2,1,Q20,Completely true,0,CONJ,NEG
group_1_2,1,Q21,Completely true,1,LESS,POS
group_1_2,1,Q22,Completely true,4,CONJ,POS
group_1_2,1,Q23,Completely false,3,NAME,NEG
group_1_2,1,Q24,Neither completely true nor completely false,2,CONJ,POS
group_1_2,1,Q25,Completely false,3,LESS,POS
group_1_2,1,Q26,Completely false,0,CONJ,POS
group_1_2,1,Q27,Completely false,4,NAME,NEG
group_1_2,1,Q28,Completely false,4,CONJ,NEG
group_1_2,1,Q29,Neither completely true nor completely false,4,FEW,POS
group_1_2,1,Q30,Neither completely true nor completely false,2,CONJ,NEG
group_1_2,1,Q31,Completely true,0,NAME,NEG
group_1_2,1,Q32,Completely true,0,CONJ,NEG
group_1_2,1,Q33,Completely false,1,FEW,POS
group_1_2,1,Q34,Completely true,4,CONJ,POS
group_1_2,1,Q35,Completely false,0,MORE,POS
group_1_2,1,Q36,Completely true,2,CONJ,POS
group_1_2,1,Q37,Completely false,3,MORE,NEG
group_1_2,1,Q38,Completely false,0,CONJ,POS
group_1_2,1,Q39,Completely false,2,MORE,POS
group_1_2,1,Q40,Completely false,4,CONJ,NEG
group_1_2,1,Q41,Completely true,3,MORE,POS
group_1_2,1,Q42,Neither completely true nor completely false,2,CONJ,NEG
group_1_2,1,Q43,Completely false,2,LESS,NEG
group_1_2,1,Q44,Completely true,0,CONJ,NEG
group_1_2,1,Q45,Completely false,2,LESS,POS
group_1_2,1,Q46,Completely true,4,CONJ,POS
group_1_2,1,Q47,Completely false,1,NAME,NEG
group_1_2,1,Q48,Neither completely true nor completely false,2,CONJ,POS
group_1_2,1,Q49,Completely true,3,FEW,POS
group_1_2,1,Q50,Completely false,0,CONJ,POS
group_1_2,1,Q51,Completely true,0,LESS,POS
group_1_2,1,Q52,Completely false,4,CONJ,NEG
group_1_2,1,Q53,Completely true,4,NAME,NEG
group_1_2,1,Q54,Neither completely true nor completely false,2,CONJ,NEG
group_1_2,1,Q55,Neither completely true nor completely false,0,MANY,NEG
group_1_2,1,Q56,Completely true,0,CONJ,NEG
group_1_2,1,Q57,Completely true,2,NAME,NEG
group_1_2,1,Q58,Completely true,4,CONJ,POS
group_1_2,1,Q59,Completely false,4,LESS,POS
group_1_2,1,Q60,Neither completely true nor completely false,2,CONJ,POS
group_1_3,1,Q1,Completely true,4,MORE,POS
group_1_3,1,Q2,Completely false,0,CONJ,POS
group_1_3,1,Q3,Neither completely true nor completely false,1,FEW,POS
group_1_3,1,Q4,Completely false,4,CONJ,NEG
group_1_3,1,Q5,Completely true,3,NAME,NEG
group_1_3,1,Q6,Completely false,2,CONJ,NEG
group_1_3,1,Q7,Completely false,1,MORE,POS
group_1_3,1,Q8,Completely true,0,CONJ,NEG
group_1_3,1,Q9,Completely false,4,LESS,NEG
group_1_3,1,Q10,Completely true,4,CONJ,POS
group_1_3,1,Q11,Completely true,1,NAME,NEG
group_1_3,1,Q12,Completely false,2,CONJ,POS
group_1_3,1,Q13,Neither completely true nor completely false,2,MANY,POS
group_1_3,1,Q14,Completely false,0,CONJ,POS
group_1_3,1,Q15,Completely true,0,MORE,NEG
group_1_3,1,Q16,Completely false,4,CONJ,NEG
group_1_3,1,Q17,Completely false,2,NAME,NEG
group_1_3,1,Q18,Completely false,2,CONJ,NEG
group_1_3,1,Q19,Completely true,0,NAME,NEG
group_1_3,1,Q20,Completely true,0,CONJ,NEG
group_1_3,1,Q21,Completely false,1,LESS,POS
group_1_3,1,Q22,Completely true,4,CONJ,POS
group_1_3,1,Q23,Completely false,3,NAME,NEG
group_1_3,1,Q24,Completely false,2,CONJ,POS
group_1_3,1,Q25,Completely false,3,LESS,POS
