DISPLAY,PROMPT,QUESTION,Picture
3,MORE,T2,LunaMiloMiaLoki
2,ALL,C1,LalaLokiMaxLuna
0,FEW,Q82,CocoLunaMiaLala
0,ALL,C2,LokiLeoCocoMilo
4,LESS,Q73,NalaLokiMiloLuna
4,AND,C3,LeoMaxNalaMia
2,MANY,Q65,MiloMiaTomLeo
2,AND,C4,MaxCocoLunaTom
2,MORE,Q70,LeoMiaCocoMax
0,AND,C5,CocoNalaMiloLala
1,FEW,Q76,MiaCocoLalaTom
4,ALL,C6,NalaLunaMiaLoki
2,FEW,Q75,MiloMaxTomMia
2,ALL,C7,LunaMiloTomLeo
1,LESS,T1,MiaLalaLeoCoco
0,ALL,C8,MiloMiaLalaMax
4,MORE,Q83,NalaMiloTomLoki
4,AND,C9,MiaTomLokiCoco
0,MORE,Q72,CocoLalaLunaNala
2,AND,C10,TomLalaLeoNala
1,MANY,Q81,MaxNalaMiloTom
0,AND,C11,LalaLokiLeoMax
3,MORE,Q59,LokiLeoMaxLuna
4,ALL,C12,LokiLeoMaxCoco
3,LESS,Q74,LunaLeoMiaMilo
2,ALL,C13,LeoMaxCocoNala
0,LESS,Q67,TomLalaLokiCoco
0,ALL,C14,MaxCocoNalaLuna
4,MANY,Q78,LalaLeoCocoLuna
4,AND,C15,CocoNalaLunaMilo
0,LESS,Q87,TomLokiMaxNala
2,AND,C16,NalaLunaMiloMia
2,LESS,Q60,LeoMaxCocoMilo
0,AND,C17,LunaMiloMiaTom
1,MORE,Q71,MaxTomNalaCoco
4,ALL,C18,MiloMiaTomLala
3,LESS,Q79,LokiMaxNalaMilo
2,ALL,C19,MiaTomLalaLoki
2,MORE,Q85,MiloTomLokiMax
0,ALL,C20,TomLalaLokiLeo
3,FEW,Q69,LokiMiloMaxLeo
4,AND,C21,LalaMaxLunaTom
3,MANY,Q84,LunaMiaLalaLeo
2,AND,C22,LokiCocoMiloLala
1,MORE,Q61,MaxCocoNalaMia
0,AND,C23,LeoNalaMiaLoki
4,MORE,Q63,NalaLunaMiloLala
4,ALL,C24,MaxLunaTomLeo
0,MORE,Q62,CocoNalaLunaTom
2,ALL,C25,CocoMiloLalaMax
2,LESS,Q80,LeoCocoLunaMia
0,ALL,C26,NalaMiaLokiCoco
4,LESS,Q68,LalaLunaLeoLoki
4,AND,C27,LunaTomLeoNala
0,MANY,Q77,TomNalaLokiLala
2,AND,C28,MiloLalaMaxLuna
1,LESS,Q66,MiaTomLalaMax
0,AND,C29,MiaLokiCocoMilo
4,FEW,U1,LalaLokiLeoNala
4,ALL,C30,TomLeoNalaMia
